Date,ZIP Code,Number of Cases
3/24/2020,45251,1
3/26/2020,45247,1
3/28/2020,45224,1
3/29/2020,45251,1
3/30/2020,45233,1
4/1/2020,45030,1
4/1/2020,45238,1
4/1/2020,45251,1
4/2/2020,45248,1
4/2/2020,45251,1
4/3/2020,45238,1
4/3/2020,45251,1
4/4/2020,45212,1
4/4/2020,45225,1
4/4/2020,45251,1
4/5/2020,45214,1
4/5/2020,45251,1
4/5/2020,45252,1
4/6/2020,45212,1
4/6/2020,45231,1
4/7/2020,45212,1
4/7/2020,45231,2
4/8/2020,45238,1
4/8/2020,45240,1
4/9/2020,45231,2
4/10/2020,45214,1
4/10/2020,45231,1
4/11/2020,45209,1
4/12/2020,45240,1
4/12/2020,45251,1
4/13/2020,45212,1
4/13/2020,45213,1
4/13/2020,45224,1
4/13/2020,45243,1
4/14/2020,45212,1
4/15/2020,45213,1
4/15/2020,45231,1
4/16/2020,45209,1
4/17/2020,45207,1
4/17/2020,45213,1
4/17/2020,45220,1
4/17/2020,45224,1
4/17/2020,45240,1
4/17/2020,45242,1
4/17/2020,45251,1
4/18/2020,45231,2
4/18/2020,45242,1
4/18/2020,45246,1
4/18/2020,45251,1
4/19/2020,45213,1
4/20/2020,45231,4
4/20/2020,45240,1
4/21/2020,45246,1
4/22/2020,45213,1
4/22/2020,45216,1
4/22/2020,45231,2
4/22/2020,45242,1
4/23/2020,45213,1
4/23/2020,45231,1
4/23/2020,45233,1
4/23/2020,45240,2
4/24/2020,45030,1
4/24/2020,45209,1
4/24/2020,45216,1
4/24/2020,45231,1
4/24/2020,45246,1
4/24/2020,45251,1
4/25/2020,45240,2
4/25/2020,45241,1
4/26/2020,45231,1
4/27/2020,45202,1
4/27/2020,45212,1
4/27/2020,45213,1
4/27/2020,45224,1
4/27/2020,45229,1
4/27/2020,45242,1
4/28/2020,45216,1
4/28/2020,45229,1
4/28/2020,45238,1
4/29/2020,45251,1
4/30/2020,45206,1
4/30/2020,45238,3
5/1/2020,45231,1
5/1/2020,45238,1
5/2/2020,45238,1
5/2/2020,45239,1
5/3/2020,45205,1
5/4/2020,45238,2
5/5/2020,45251,1
5/6/2020,45231,1
5/6/2020,45240,1
5/6/2020,45243,1
5/7/2020,45231,2
5/7/2020,45240,1
5/7/2020,45246,1
5/8/2020,45212,1
5/8/2020,45231,1
5/8/2020,45240,1
5/9/2020,45241,1
5/10/2020,45206,2
5/10/2020,45238,2
5/12/2020,45215,1
5/12/2020,45231,3
5/12/2020,45238,1
5/12/2020,45240,2
5/13/2020,45215,1
5/13/2020,45231,1
5/13/2020,45238,3
5/14/2020,45231,1
5/15/2020,45225,1
5/15/2020,45231,1
5/15/2020,45240,1
5/15/2020,45241,1
5/17/2020,45231,1
5/17/2020,45240,1
5/18/2020,45238,1
5/19/2020,45231,1
5/19/2020,45238,1
5/19/2020,45241,1
5/20/2020,45209,1
5/20/2020,45231,1
5/20/2020,45238,1
5/21/2020,45202,1
5/21/2020,45213,1
5/21/2020,45218,1
5/21/2020,45241,1
5/22/2020,45225,1
5/22/2020,45241,1
5/24/2020,45241,2
5/25/2020,45211,2
5/25/2020,45242,1
5/26/2020,45240,1
5/26/2020,45246,1
5/27/2020,45211,1
5/27/2020,45212,1
5/27/2020,45238,1
5/27/2020,45241,1
5/29/2020,45211,1
5/29/2020,45239,1
5/29/2020,45241,1
5/29/2020,45246,2
5/30/2020,45002,1
5/30/2020,45219,1
5/30/2020,45231,2
5/30/2020,45241,2
6/1/2020,45241,1
6/1/2020,45255,2
6/2/2020,45211,1
6/2/2020,45255,1
6/3/2020,45241,1
6/3/2020,45246,3
6/4/2020,45239,1
6/4/2020,45246,1
6/5/2020,45206,1
6/7/2020,45206,1
6/7/2020,45215,1
6/7/2020,45236,1
6/8/2020,45246,1
6/9/2020,45246,1
6/12/2020,45206,1
6/13/2020,45227,1
6/13/2020,45240,2
6/17/2020,45246,2
6/18/2020,45229,1
6/19/2020,45211,1
6/21/2020,45241,1
6/22/2020,45227,1
6/26/2020,45211,1
6/26/2020,45231,1
6/27/2020,45220,1
6/28/2020,45225,1
6/28/2020,45229,1
6/29/2020,45202,1
6/29/2020,45213,1
6/30/2020,45227,1
7/2/2020,45239,1
7/3/2020,45207,1
7/3/2020,45239,1
7/5/2020,45212,1
7/7/2020,45231,2
7/8/2020,45220,1
7/8/2020,45225,1
7/8/2020,45240,1
7/9/2020,45239,1
7/10/2020,45214,1
7/10/2020,45241,3
7/11/2020,45211,1
7/11/2020,45242,1
7/13/2020,45211,1
7/14/2020,45211,1
7/14/2020,45231,1
7/15/2020,45220,1
7/15/2020,45242,1
7/16/2020,45140,1
7/16/2020,45206,1
7/16/2020,45214,1
7/16/2020,45220,1
7/17/2020,45211,1
7/17/2020,45227,1
7/17/2020,45240,1
7/18/2020,45224,1
7/18/2020,45236,1
7/19/2020,45211,1
7/19/2020,45220,1
7/19/2020,45239,2
7/20/2020,45251,1
7/22/2020,45030,1
7/22/2020,45220,1
7/23/2020,45242,2
7/24/2020,45211,1
7/24/2020,45238,1
7/25/2020,45211,1
7/25/2020,45247,1
7/26/2020,45247,1
7/27/2020,45219,1
7/27/2020,45220,1
7/27/2020,45242,1
7/28/2020,45220,1
7/28/2020,45224,1
7/28/2020,45231,1
7/28/2020,45242,1
7/29/2020,45002,1
7/29/2020,45205,1
7/29/2020,45231,1
7/29/2020,45239,1
7/30/2020,45227,1
7/30/2020,45238,1
7/31/2020,45211,1
7/31/2020,45238,1
8/1/2020,45030,1
8/2/2020,45213,1
8/4/2020,45030,1
8/5/2020,45030,1
8/5/2020,45211,1
8/5/2020,45238,1
8/6/2020,45206,1
8/7/2020,45209,1
8/7/2020,45230,1
8/9/2020,45211,1
8/10/2020,45211,1
8/10/2020,45238,1
8/10/2020,45251,1
8/11/2020,45236,1
8/12/2020,45219,1
8/13/2020,45224,1
8/13/2020,45238,1
8/14/2020,45204,1
8/14/2020,45230,1
8/14/2020,45239,1
8/15/2020,45230,1
8/17/2020,45244,1
8/17/2020,45255,1
8/18/2020,45247,1
8/19/2020,45211,1
8/19/2020,45242,1
8/20/2020,45207,1
8/20/2020,45251,1
8/20/2020,45255,1
8/21/2020,45227,1
8/22/2020,45224,1
8/22/2020,45240,1
8/23/2020,45233,1
8/23/2020,45242,1
8/24/2020,45030,1
8/24/2020,45211,1
8/24/2020,45248,1
8/26/2020,45230,1
8/29/2020,45241,1
8/30/2020,45205,1
8/30/2020,45211,1
8/30/2020,45212,1
8/30/2020,45244,1
8/31/2020,45237,1
9/1/2020,45236,1
9/1/2020,45241,1
9/2/2020,45211,1
9/2/2020,45230,1
9/4/2020,45215,1
9/5/2020,45225,1
9/5/2020,45241,1
9/6/2020,45244,1
9/10/2020,45209,1
9/12/2020,45236,1
9/14/2020,45233,1
9/14/2020,45251,1
9/15/2020,45230,1
9/16/2020,45237,1
9/17/2020,45230,1
9/19/2020,45219,1
9/19/2020,45238,1
9/20/2020,45215,1
9/20/2020,45230,1
9/21/2020,45227,1
9/22/2020,45215,2
9/22/2020,45224,1
9/23/2020,45236,1
9/24/2020,45236,1
9/28/2020,45236,1
9/29/2020,45236,2
10/1/2020,45255,1
10/2/2020,45236,1
10/2/2020,45248,2
10/3/2020,45248,1
10/4/2020,45030,1
10/5/2020,45241,1
10/7/2020,45212,1
10/7/2020,45218,1
10/11/2020,45238,1
10/12/2020,45030,1
10/12/2020,45241,1
10/13/2020,45218,1
10/14/2020,45211,1
10/14/2020,45218,1
10/14/2020,45242,1
10/15/2020,45002,1
10/15/2020,45252,1
10/16/2020,45215,1
10/17/2020,45205,1
10/17/2020,45236,1
10/17/2020,45238,1
10/19/2020,45231,1
10/19/2020,45236,1
10/20/2020,45220,1
10/20/2020,45237,1
10/21/2020,45211,1
10/21/2020,45251,1
10/22/2020,45218,1
10/22/2020,45238,1
10/22/2020,45241,1
10/22/2020,45247,1
10/23/2020,45237,2
10/24/2020,45211,2
10/24/2020,45231,1
10/24/2020,45236,1
10/24/2020,45247,1
10/25/2020,45209,1
10/25/2020,45211,1
10/25/2020,45224,1
10/26/2020,45211,1
10/26/2020,45215,1
10/26/2020,45231,2
10/26/2020,45237,1
10/26/2020,45247,1
10/27/2020,45205,1
10/27/2020,45218,2
10/27/2020,45224,1
10/27/2020,45237,1
10/27/2020,45239,1
10/27/2020,45247,1
10/28/2020,45205,1
10/28/2020,45211,3
10/28/2020,45230,1
10/28/2020,45231,1
10/28/2020,45237,1
10/28/2020,45252,1
10/29/2020,45140,1
10/29/2020,45205,1
10/29/2020,45211,2
10/29/2020,45224,1
10/29/2020,45236,1
10/30/2020,45211,1
10/30/2020,45231,3
10/31/2020,45030,1
10/31/2020,45140,2
10/31/2020,45231,1
10/31/2020,45233,1
10/31/2020,45236,1
10/31/2020,45247,1
11/1/2020,45215,1
11/1/2020,45217,1
11/1/2020,45230,1
11/1/2020,45248,1
11/2/2020,45030,1
11/2/2020,45206,1
11/2/2020,45224,1
11/2/2020,45255,1
11/3/2020,45205,1
11/3/2020,45215,1
11/3/2020,45218,1
11/3/2020,45224,1
11/3/2020,45230,1
11/3/2020,45238,1
11/3/2020,45248,1
11/4/2020,45244,1
11/4/2020,45251,1
11/5/2020,45140,2
11/5/2020,45205,1
11/5/2020,45242,1
11/5/2020,45255,1
11/6/2020,45140,1
11/6/2020,45205,1
11/6/2020,45238,2
11/6/2020,45243,1
11/7/2020,45218,1
11/7/2020,45240,1
11/8/2020,45224,1
11/9/2020,45030,1
11/9/2020,45218,1
11/9/2020,45227,1
11/9/2020,45231,2
11/9/2020,45238,2
11/9/2020,45241,1
11/9/2020,45243,1
11/10/2020,45140,1
11/10/2020,45202,1
11/10/2020,45205,1
11/10/2020,45223,1
11/10/2020,45231,1
11/11/2020,45140,1
11/11/2020,45205,1
11/11/2020,45206,1
11/11/2020,45227,1
11/11/2020,45230,2
11/11/2020,45231,1
11/12/2020,45236,2
11/12/2020,45238,1
11/13/2020,45211,1
11/13/2020,45215,1
11/13/2020,45218,1
11/13/2020,45249,1
11/13/2020,45251,1
11/14/2020,45052,1
11/14/2020,45216,1
11/14/2020,45247,1
11/14/2020,45248,1
11/15/2020,45236,1
11/15/2020,45238,1
11/15/2020,45247,1
11/15/2020,45249,1
11/16/2020,45002,1
11/16/2020,45211,1
11/16/2020,45233,1
11/16/2020,45239,1
11/16/2020,45240,1
11/17/2020,45206,1
11/17/2020,45217,1
11/17/2020,45220,1
11/17/2020,45225,1
11/17/2020,45231,1
11/17/2020,45247,2
11/18/2020,45140,1
11/18/2020,45223,1
11/18/2020,45243,1
11/19/2020,45052,1
11/19/2020,45140,2
11/19/2020,45209,1
11/19/2020,45215,1
11/19/2020,45218,1
11/19/2020,45240,1
11/19/2020,45248,1
11/20/2020,45030,1
11/20/2020,45218,1
11/20/2020,45231,1
11/20/2020,45233,1
11/20/2020,45236,1
11/20/2020,45239,1
11/20/2020,45247,1
11/21/2020,45205,1
11/21/2020,45211,1
11/21/2020,45216,1
11/21/2020,45224,1
11/21/2020,45231,1
11/21/2020,45233,2
11/21/2020,45247,1
11/22/2020,45002,1
11/22/2020,45212,1
11/22/2020,45236,1
11/23/2020,45140,1
11/23/2020,45216,1
11/23/2020,45217,1
11/23/2020,45218,1
11/23/2020,45238,1
11/23/2020,45241,1
11/23/2020,45243,2
11/23/2020,45248,1
11/24/2020,45140,1
11/24/2020,45205,1
11/24/2020,45211,1
11/24/2020,45216,1
11/24/2020,45230,1
11/24/2020,45231,1
11/24/2020,45233,1
11/24/2020,45237,1
11/24/2020,45247,2
11/25/2020,45215,1
11/25/2020,45216,1
11/25/2020,45218,1
11/25/2020,45231,1
11/25/2020,45248,2
11/25/2020,45249,1
11/26/2020,45211,1
11/26/2020,45212,1
11/26/2020,45233,1
11/26/2020,45238,2
11/27/2020,45140,1
11/27/2020,45211,1
11/27/2020,45231,1
11/27/2020,45236,1
11/27/2020,45239,1
11/27/2020,45243,1
11/27/2020,45244,2
11/27/2020,45248,1
11/28/2020,45205,1
11/28/2020,45206,1
11/28/2020,45211,1
11/28/2020,45225,1
11/28/2020,45251,1
11/29/2020,45206,1
11/29/2020,45211,1
11/29/2020,45218,1
11/30/2020,45030,1
11/30/2020,45140,1
11/30/2020,45205,1
11/30/2020,45211,2
11/30/2020,45215,1
11/30/2020,45218,1
11/30/2020,45227,1
11/30/2020,45237,1
11/30/2020,45243,1
11/30/2020,45248,1
12/1/2020,45217,1
12/2/2020,45216,1
12/2/2020,45227,1
12/2/2020,45238,2
12/2/2020,45241,1
12/2/2020,45243,1
12/2/2020,45246,1
12/3/2020,45211,1
12/3/2020,45215,2
12/3/2020,45239,1
12/3/2020,45241,1
12/3/2020,45242,1
12/4/2020,45215,1
12/4/2020,45218,1
12/4/2020,45229,1
12/4/2020,45231,1
12/4/2020,45236,2
12/4/2020,45243,1
12/5/2020,45215,1
12/5/2020,45216,1
12/5/2020,45220,1
12/5/2020,45224,1
12/5/2020,45231,2
12/5/2020,45236,2
12/5/2020,45240,1
12/5/2020,45242,1
12/5/2020,45251,1
12/6/2020,45211,1
12/6/2020,45224,1
12/6/2020,45225,1
12/6/2020,45227,1
12/6/2020,45236,1
12/6/2020,45246,1
12/6/2020,45252,1
12/7/2020,45231,2
12/7/2020,45238,1
12/7/2020,45241,1
12/7/2020,45243,1
12/7/2020,45251,2
12/8/2020,45216,1
12/8/2020,45220,1
12/8/2020,45231,1
12/8/2020,45236,1
12/8/2020,45238,2
12/8/2020,45240,1
12/8/2020,45241,1
12/8/2020,45243,2
12/8/2020,45246,1
12/8/2020,45249,1
12/8/2020,45251,1
12/9/2020,45205,1
12/9/2020,45208,1
12/9/2020,45231,2
12/9/2020,45239,1
12/9/2020,45242,1
12/9/2020,45246,1
12/10/2020,45030,2
12/10/2020,45209,1
12/10/2020,45215,2
12/10/2020,45231,2
12/10/2020,45233,1
12/11/2020,45051,1
12/11/2020,45205,1
12/11/2020,45211,1
12/11/2020,45229,1
12/11/2020,45230,1
12/11/2020,45231,2
12/11/2020,45236,1
12/11/2020,45239,1
12/11/2020,45249,1
12/12/2020,45030,1
12/12/2020,45218,1
12/12/2020,45230,1
12/12/2020,45231,2
12/12/2020,45233,1
12/12/2020,45236,1
12/12/2020,45237,1
12/12/2020,45238,1
12/13/2020,45030,1
12/13/2020,45207,1
12/13/2020,45215,1
12/13/2020,45227,1
12/13/2020,45229,1
12/13/2020,45241,1
12/13/2020,45246,1
12/13/2020,45248,1
12/13/2020,45251,1
12/14/2020,45202,1
12/14/2020,45211,1
12/14/2020,45215,2
12/14/2020,45220,1
12/14/2020,45223,2
12/14/2020,45231,1
12/14/2020,45236,2
12/14/2020,45240,3
12/14/2020,45246,2
12/15/2020,45140,1
12/15/2020,45206,1
12/15/2020,45209,1
12/15/2020,45216,1
12/15/2020,45224,2
12/15/2020,45229,1
12/15/2020,45231,2
12/15/2020,45246,2
12/15/2020,45247,1
12/15/2020,45248,1
12/15/2020,45255,1
12/16/2020,45030,1
12/16/2020,45052,1
12/16/2020,45211,1
12/16/2020,45215,1
12/16/2020,45230,1
12/16/2020,45231,2
12/16/2020,45236,3
12/16/2020,45238,1
12/16/2020,45243,1
12/16/2020,45246,1
12/16/2020,45248,1
12/16/2020,45251,1
12/17/2020,45140,1
12/17/2020,45208,1
12/17/2020,45215,1
12/17/2020,45230,1
12/17/2020,45231,1
12/17/2020,45246,1
12/17/2020,45251,2
12/17/2020,45255,2
12/18/2020,45211,1
12/18/2020,45230,3
12/18/2020,45231,4
12/18/2020,45233,1
12/18/2020,45236,1
12/18/2020,45241,1
12/18/2020,45246,1
12/19/2020,45140,1
12/19/2020,45211,1
12/19/2020,45212,1
12/19/2020,45218,1
12/19/2020,45231,1
12/19/2020,45240,1
12/19/2020,45247,1
12/20/2020,45030,1
12/20/2020,45206,1
12/20/2020,45211,1
12/20/2020,45214,1
12/20/2020,45231,1
12/20/2020,45236,1
12/20/2020,45242,1
12/20/2020,45243,2
12/20/2020,45246,2
12/20/2020,45248,2
12/21/2020,45030,2
12/21/2020,45212,2
12/21/2020,45214,1
12/21/2020,45215,1
12/21/2020,45218,1
12/21/2020,45227,1
12/21/2020,45231,1
12/21/2020,45233,2
12/21/2020,45236,3
12/21/2020,45243,1
12/21/2020,45247,1
12/21/2020,45255,1
12/22/2020,45030,3
12/22/2020,45211,1
12/22/2020,45223,1
12/22/2020,45227,1
12/22/2020,45230,1
12/22/2020,45233,2
12/22/2020,45237,2
12/22/2020,45243,1
12/22/2020,45246,1
12/22/2020,45247,1
12/23/2020,45030,1
12/23/2020,45204,1
12/23/2020,45231,2
12/23/2020,45236,1
12/23/2020,45237,1
12/23/2020,45246,1
12/24/2020,45030,2
12/24/2020,45212,1
12/24/2020,45215,2
12/24/2020,45220,1
12/24/2020,45227,1
12/24/2020,45231,3
12/24/2020,45233,1
12/24/2020,45241,1
12/24/2020,45246,1
12/24/2020,45247,1
12/24/2020,45255,2
12/25/2020,45030,2
12/25/2020,45211,1
12/25/2020,45215,2
12/25/2020,45227,1
12/25/2020,45232,1
12/25/2020,45233,1
12/25/2020,45236,1
12/25/2020,45241,1
12/25/2020,45242,1
12/25/2020,45244,1
12/25/2020,45246,1
12/26/2020,45206,1
12/26/2020,45215,1
12/26/2020,45218,1
12/26/2020,45219,1
12/26/2020,45227,1
12/26/2020,45230,2
12/26/2020,45231,2
12/26/2020,45233,1
12/26/2020,45241,1
12/26/2020,45246,1
12/26/2020,45255,1
12/27/2020,45209,1
12/27/2020,45215,1
12/27/2020,45218,2
12/27/2020,45231,3
12/27/2020,45233,1
12/27/2020,45240,1
12/27/2020,45244,1
12/27/2020,45248,1
12/27/2020,45249,1
12/27/2020,45255,1
12/28/2020,45140,1
12/28/2020,45209,1
12/28/2020,45211,1
12/28/2020,45212,1
12/28/2020,45215,1
12/28/2020,45237,1
12/28/2020,45241,1
12/28/2020,45255,1
12/29/2020,45208,1
12/29/2020,45211,1
12/29/2020,45215,1
12/29/2020,45220,1
12/29/2020,45224,1
12/29/2020,45231,3
12/29/2020,45233,2
12/29/2020,45236,1
12/29/2020,45238,1
12/29/2020,45239,1
12/29/2020,45240,1
12/29/2020,45247,1
12/29/2020,45248,1
12/29/2020,45249,1
12/30/2020,45030,1
12/30/2020,45220,1
12/30/2020,45232,1
12/30/2020,45240,1
12/30/2020,45242,1
12/30/2020,45244,1
12/30/2020,45246,1
12/31/2020,45030,1
12/31/2020,45204,1
12/31/2020,45214,1
12/31/2020,45215,1
12/31/2020,45223,1
12/31/2020,45230,1
12/31/2020,45231,2
12/31/2020,45233,2
12/31/2020,45244,1
12/31/2020,45251,1
1/1/2021,45030,2
1/1/2021,45215,1
1/1/2021,45224,1
1/1/2021,45230,1
1/1/2021,45233,1
1/1/2021,45240,1
1/1/2021,45242,2
1/1/2021,45247,1
1/1/2021,45255,1
1/2/2021,45220,1
1/2/2021,45223,1
1/2/2021,45230,2
1/2/2021,45231,1
1/2/2021,45233,4
1/2/2021,45242,2
1/3/2021,45220,1
1/3/2021,45227,1
1/3/2021,45230,1
1/3/2021,45236,1
1/3/2021,45239,1
1/4/2021,45205,1
1/4/2021,45206,1
1/4/2021,45209,1
1/4/2021,45212,1
1/4/2021,45215,1
1/4/2021,45233,3
1/4/2021,45239,1
1/4/2021,45255,3
1/5/2021,45206,1
1/5/2021,45211,1
1/5/2021,45215,1
1/5/2021,45227,1
1/5/2021,45236,1
1/5/2021,45240,1
1/5/2021,45241,1
1/5/2021,45248,1
1/6/2021,45215,1
1/6/2021,45223,1
1/6/2021,45231,1
1/6/2021,45237,2
1/6/2021,45248,1
1/7/2021,45002,1
1/7/2021,45205,1
1/7/2021,45211,2
1/7/2021,45220,1
1/7/2021,45227,1
1/7/2021,45242,1
1/7/2021,45246,2
1/7/2021,45255,1
1/8/2021,45213,1
1/8/2021,45215,3
1/8/2021,45220,1
1/8/2021,45229,1
1/8/2021,45233,1
1/8/2021,45236,1
1/8/2021,45240,1
1/8/2021,45255,1
1/9/2021,45030,1
1/9/2021,45140,1
1/9/2021,45205,1
1/9/2021,45215,1
1/9/2021,45229,1
1/9/2021,45231,3
1/9/2021,45240,1
1/9/2021,45243,2
1/10/2021,45206,1
1/10/2021,45209,2
1/10/2021,45211,2
1/10/2021,45230,2
1/10/2021,45231,1
1/10/2021,45233,2
1/10/2021,45237,1
1/10/2021,45239,1
1/10/2021,45243,1
1/10/2021,45248,1
1/11/2021,45140,1
1/11/2021,45211,2
1/11/2021,45215,2
1/11/2021,45218,1
1/11/2021,45220,1
1/11/2021,45224,1
1/11/2021,45230,1
1/11/2021,45231,1
1/11/2021,45233,1
1/11/2021,45236,1
1/11/2021,45244,1
1/11/2021,45248,1
1/12/2021,45209,1
1/12/2021,45213,1
1/12/2021,45215,1
1/12/2021,45224,2
1/12/2021,45225,1
1/12/2021,45229,1
1/12/2021,45237,1
1/12/2021,45238,1
1/12/2021,45241,1
1/12/2021,45243,1
1/12/2021,45248,1
1/12/2021,45255,2
1/13/2021,45030,1
1/13/2021,45140,1
1/13/2021,45202,1
1/13/2021,45206,1
1/13/2021,45211,1
1/13/2021,45215,1
1/13/2021,45231,1
1/13/2021,45233,1
1/13/2021,45238,2
1/13/2021,45242,2
1/13/2021,45247,1
1/13/2021,45255,1
1/14/2021,45052,1
1/14/2021,45206,1
1/14/2021,45211,1
1/14/2021,45227,1
1/14/2021,45231,2
1/14/2021,45233,2
1/14/2021,45236,1
1/14/2021,45238,1
1/14/2021,45244,1
1/15/2021,45211,1
1/15/2021,45212,1
1/15/2021,45224,1
1/15/2021,45227,1
1/15/2021,45231,1
1/15/2021,45236,1
1/15/2021,45237,1
1/15/2021,45242,3
1/15/2021,45243,1
1/15/2021,45244,1
1/16/2021,45203,1
1/16/2021,45212,1
1/16/2021,45233,1
1/16/2021,45240,1
1/16/2021,45244,1
1/16/2021,45246,1
1/17/2021,45209,1
1/17/2021,45215,1
1/17/2021,45231,1
1/17/2021,45233,1
1/17/2021,45248,1
1/18/2021,45002,1
1/18/2021,45209,1
1/18/2021,45212,1
1/18/2021,45215,1
1/18/2021,45231,1
1/18/2021,45233,2
1/18/2021,45248,1
1/18/2021,45255,1
1/19/2021,45218,1
1/19/2021,45224,1
1/19/2021,45233,1
1/20/2021,45051,1
1/20/2021,45223,1
1/20/2021,45231,1
1/20/2021,45238,1
1/20/2021,45248,1
1/21/2021,45205,1
1/21/2021,45211,1
1/21/2021,45224,1
1/21/2021,45229,1
1/21/2021,45230,1
1/21/2021,45231,1
1/21/2021,45233,1
1/21/2021,45240,1
1/21/2021,45242,2
1/21/2021,45244,3
1/21/2021,45249,1
1/22/2021,45224,1
1/22/2021,45233,1
1/22/2021,45239,1
1/22/2021,45240,1
1/22/2021,45248,1
1/23/2021,45211,1
1/23/2021,45229,1
1/23/2021,45233,1
1/23/2021,45239,1
1/23/2021,45255,1
1/24/2021,45002,1
1/24/2021,45030,1
1/24/2021,45216,1
1/24/2021,45223,1
1/24/2021,45230,1
1/24/2021,45251,1
1/24/2021,45252,1
1/25/2021,45140,1
1/25/2021,45215,1
1/25/2021,45217,1
1/25/2021,45224,1
1/25/2021,45231,1
1/25/2021,45233,3
1/25/2021,45238,1
1/25/2021,45244,1
1/25/2021,45246,1
1/25/2021,45247,1
1/25/2021,45249,1
1/25/2021,45252,1
1/26/2021,45208,1
1/26/2021,45209,1
1/26/2021,45215,1
1/26/2021,45239,2
1/26/2021,45240,1
1/26/2021,45248,1
1/27/2021,45215,2
1/27/2021,45231,2
1/27/2021,45236,1
1/27/2021,45240,1
1/27/2021,45242,1
1/27/2021,45246,1
1/27/2021,45255,2
1/28/2021,45226,1
1/28/2021,45231,2
1/28/2021,45237,1
1/28/2021,45240,1
1/28/2021,45252,1
1/28/2021,45255,1
1/29/2021,45030,3
1/29/2021,45214,1
1/29/2021,45240,1
1/29/2021,45248,1
1/30/2021,45215,1
1/30/2021,45224,1
1/30/2021,45244,2
1/31/2021,45202,2
1/31/2021,45215,1
